(0, {'lat': 14.542877680425796, 'lon': 121.01054191589357})
(59, {'lat': 14.548277858134394, 'lon': 121.03577613830568})
(60, {'lat': 14.550105580673797, 'lon': 121.01054191589357})
(61, {'lat': 14.550105580673797, 'lon': 121.01234436035156})
(62, {'lat': 14.550105580673797, 'lon': 121.01414680480958})
(63, {'lat': 14.550105580673797, 'lon': 121.01594924926759})
(64, {'lat': 14.550105580673797, 'lon': 121.0177516937256})
(65, {'lat': 14.550105580673797, 'lon': 121.01955413818361})
(66, {'lat': 14.550105580673797, 'lon': 121.02135658264162})
(67, {'lat': 14.550105580673797, 'lon': 121.02315902709962})
(68, {'lat': 14.550105580673797, 'lon': 121.02496147155763})
(69, {'lat': 14.550105580673797, 'lon': 121.02676391601564})
(70, {'lat': 14.550105580673797, 'lon': 121.02856636047365})
(71, {'lat': 14.550105580673797, 'lon': 121.03036880493165})
(72, {'lat': 14.550105580673797, 'lon': 121.03217124938966})
(73, {'lat': 14.550105580673797, 'lon': 121.03397369384767})
(74, {'lat': 14.550105580673797, 'lon': 121.03577613830568})
(75, {'lat': 14.551850210799415, 'lon': 121.01054191589357})
(76, {'lat': 14.551850210799415, 'lon': 121.01234436035156})
(77, {'lat': 14.551850210799415, 'lon': 121.01414680480958})
(78, {'lat': 14.551850210799415, 'lon': 121.01594924926759})
(79, {'lat': 14.551850210799415, 'lon': 121.0177516937256})
(80, {'lat': 14.551850210799415, 'lon': 121.01955413818361})
(81, {'lat': 14.551850210799415, 'lon': 121.02135658264162})
(82, {'lat': 14.551850210799415, 'lon': 121.02315902709962})
(83, {'lat': 14.551850210799415, 'lon': 121.02496147155763})
(84, {'lat': 14.551850210799415, 'lon': 121.02676391601564})
(85, {'lat': 14.551850210799415, 'lon': 121.02856636047365})
(86, {'lat': 14.551850210799415, 'lon': 121.03036880493165})
(87, {'lat': 14.551850210799415, 'lon': 121.03217124938966})
(88, {'lat': 14.551850210799415, 'lon': 121.03397369384767})
(89, {'lat': 14.551850210799415, 'lon': 121.03577613830568})
(90, {'lat': 14.55367790375962, 'lon': 121.01054191589357})
(91, {'lat': 14.55367790375962, 'lon': 121.01234436035156})
(92, {'lat': 14.55367790375962, 'lon': 121.01414680480958})
(93, {'lat': 14.55367790375962, 'lon': 121.01594924926759})
(94, {'lat': 14.55367790375962, 'lon': 121.0177516937256})
(95, {'lat': 14.55367790375962, 'lon': 121.01955413818361})
(96, {'lat': 14.55367790375962, 'lon': 121.02135658264162})
(97, {'lat': 14.55367790375962, 'lon': 121.02315902709962})
(98, {'lat': 14.55367790375962, 'lon': 121.02496147155763})
(99, {'lat': 14.55367790375962, 'lon': 121.02676391601564})
(100, {'lat': 14.55367790375962, 'lon': 121.02856636047365})
(101, {'lat': 14.55367790375962, 'lon': 121.03036880493165})
(102, {'lat': 14.55367790375962, 'lon': 121.03217124938966})
(103, {'lat': 14.55367790375962, 'lon': 121.03397369384767})
(104, {'lat': 14.55367790375962, 'lon': 121.03577613830568})
(105, {'lat': 14.555505581583732, 'lon': 121.01054191589357})
(106, {'lat': 14.555505581583732, 'lon': 121.01234436035156})
(107, {'lat': 14.555505581583732, 'lon': 121.01414680480958})
(108, {'lat': 14.555505581583732, 'lon': 121.01594924926759})
(109, {'lat': 14.555505581583732, 'lon': 121.0177516937256})
(110, {'lat': 14.555505581583732, 'lon': 121.01955413818361})
(111, {'lat': 14.555505581583732, 'lon': 121.02135658264162})
(112, {'lat': 14.555505581583732, 'lon': 121.02315902709962})
(113, {'lat': 14.555505581583732, 'lon': 121.02496147155763})
(114, {'lat': 14.555505581583732, 'lon': 121.02676391601564})
(115, {'lat': 14.555505581583732, 'lon': 121.02856636047365})
(116, {'lat': 14.555505581583732, 'lon': 121.03036880493165})
(117, {'lat': 14.555505581583732, 'lon': 121.03217124938966})
(118, {'lat': 14.555505581583732, 'lon': 121.03397369384767})
(119, {'lat': 14.555505581583732, 'lon': 121.03577613830568})
(120, {'lat': 14.557250169021803, 'lon': 121.01054191589357})
(121, {'lat': 14.557250169021803, 'lon': 121.01234436035156})
(122, {'lat': 14.557250169021803, 'lon': 121.01414680480958})
(123, {'lat': 14.557250169021803, 'lon': 121.01594924926759})
(124, {'lat': 14.557250169021803, 'lon': 121.0177516937256})
(125, {'lat': 14.557250169021803, 'lon': 121.01955413818361})
(126, {'lat': 14.557250169021803, 'lon': 121.02135658264162})
(127, {'lat': 14.557250169021803, 'lon': 121.02315902709962})
(128, {'lat': 14.557250169021803, 'lon': 121.02496147155763})
(129, {'lat': 14.557250169021803, 'lon': 121.02676391601564})
(130, {'lat': 14.557250169021803, 'lon': 121.02856636047365})
(131, {'lat': 14.557250169021803, 'lon': 121.03036880493165})
(132, {'lat': 14.557250169021803, 'lon': 121.03217124938966})
(133, {'lat': 14.557250169021803, 'lon': 121.03397369384767})
(134, {'lat': 14.557250169021803, 'lon': 121.03577613830568})
(135, {'lat': 14.559077817256705, 'lon': 121.01054191589357})
(136, {'lat': 14.559077817256705, 'lon': 121.01234436035156})
(137, {'lat': 14.559077817256705, 'lon': 121.01414680480958})
(138, {'lat': 14.559077817256705, 'lon': 121.01594924926759})
(139, {'lat': 14.559077817256705, 'lon': 121.0177516937256})
(140, {'lat': 14.559077817256705, 'lon': 121.01955413818361})
(141, {'lat': 14.559077817256705, 'lon': 121.02135658264162})
(142, {'lat': 14.559077817256705, 'lon': 121.02315902709962})
(143, {'lat': 14.559077817256705, 'lon': 121.02496147155763})
(144, {'lat': 14.559077817256705, 'lon': 121.02676391601564})
(145, {'lat': 14.559077817256705, 'lon': 121.02856636047365})
(146, {'lat': 14.559077817256705, 'lon': 121.03036880493165})
(147, {'lat': 14.559077817256705, 'lon': 121.03217124938966})
(148, {'lat': 14.559077817256705, 'lon': 121.03397369384767})
(149, {'lat': 14.559077817256705, 'lon': 121.03577613830568})
(150, {'lat': 14.560905450350399, 'lon': 121.01054191589357})
(151, {'lat': 14.560905450350399, 'lon': 121.01234436035156})
(152, {'lat': 14.560905450350399, 'lon': 121.01414680480958})
(153, {'lat': 14.560905450350399, 'lon': 121.01594924926759})
(154, {'lat': 14.560905450350399, 'lon': 121.0177516937256})
(155, {'lat': 14.560905450350399, 'lon': 121.01955413818361})
(156, {'lat': 14.560905450350399, 'lon': 121.02135658264162})
(157, {'lat': 14.560905450350399, 'lon': 121.02315902709962})
(158, {'lat': 14.560905450350399, 'lon': 121.02496147155763})
(159, {'lat': 14.560905450350399, 'lon': 121.02676391601564})
(160, {'lat': 14.560905450350399, 'lon': 121.02856636047365})
(161, {'lat': 14.560905450350399, 'lon': 121.03036880493165})
(162, {'lat': 14.560905450350399, 'lon': 121.03217124938966})
(163, {'lat': 14.560905450350399, 'lon': 121.03397369384767})
(164, {'lat': 14.560905450350399, 'lon': 121.03577613830568})
(165, {'lat': 14.562649995086456, 'lon': 121.01054191589357})
(166, {'lat': 14.562649995086456, 'lon': 121.01234436035156})
(167, {'lat': 14.562649995086456, 'lon': 121.01414680480958})
(168, {'lat': 14.562649995086456, 'lon': 121.01594924926759})
(169, {'lat': 14.562649995086456, 'lon': 121.0177516937256})
(170, {'lat': 14.562649995086456, 'lon': 121.01955413818361})
(171, {'lat': 14.562649995086456, 'lon': 121.02135658264162})
(172, {'lat': 14.562649995086456, 'lon': 121.02315902709962})
(173, {'lat': 14.562649995086456, 'lon': 121.02496147155763})
(174, {'lat': 14.562649995086456, 'lon': 121.02676391601564})
(175, {'lat': 14.562649995086456, 'lon': 121.02856636047365})
(176, {'lat': 14.562649995086456, 'lon': 121.03036880493165})
(177, {'lat': 14.562649995086456, 'lon': 121.03217124938966})
(178, {'lat': 14.562649995086456, 'lon': 121.03397369384767})
(179, {'lat': 14.562649995086456, 'lon': 121.03577613830568})
(180, {'lat': 14.564477598580941, 'lon': 121.01054191589357})
(181, {'lat': 14.564477598580941, 'lon': 121.01234436035156})
(182, {'lat': 14.564477598580941, 'lon': 121.01414680480958})
(183, {'lat': 14.564477598580941, 'lon': 121.01594924926759})
(184, {'lat': 14.564477598580941, 'lon': 121.0177516937256})
(185, {'lat': 14.564477598580941, 'lon': 121.01955413818361})
(186, {'lat': 14.564477598580941, 'lon': 121.02135658264162})
(187, {'lat': 14.564477598580941, 'lon': 121.02315902709962})
(188, {'lat': 14.564477598580941, 'lon': 121.02496147155763})
(189, {'lat': 14.564477598580941, 'lon': 121.02676391601564})
(190, {'lat': 14.564477598580941, 'lon': 121.02856636047365})
(191, {'lat': 14.564477598580941, 'lon': 121.03036880493165})
(192, {'lat': 14.564477598580941, 'lon': 121.03217124938966})
(193, {'lat': 14.564477598580941, 'lon': 121.03397369384767})
(194, {'lat': 14.564477598580941, 'lon': 121.03577613830568})
(195, {'lat': 14.566305186929066, 'lon': 121.01054191589357})
(196, {'lat': 14.566305186929066, 'lon': 121.01234436035156})
(197, {'lat': 14.566305186929066, 'lon': 121.01414680480958})
(198, {'lat': 14.566305186929066, 'lon': 121.01594924926759})
(199, {'lat': 14.566305186929066, 'lon': 121.0177516937256})
|
(0, 1, {u'route_id': 9, u'road_path': [265571869, 265571868, 243433385], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(0, 195, {u'route_id': 9, u'road_path': [243433385, 265573073, 31457474, 31457475, 31457445, 31457425, 31457427, 243434746, 316168328, 2389113451, 244312770, 929205748, 929205737, 244452500, 558297457, 340223123, 307953564, 243796471, 27049508, 409098605, 27049507, 178165090, 21674123, 21674126, 43711918, 25584096, 25584093, 25584090, 25584088, 79667316, 139070681, 139070893, 139071168], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(0, 12, {u'route_id': 8, u'road_path': [243433385, 265573073, 31457474, 31457475, 31457476, 31457477, 243461068, 31457478, 316168319, 4079991560, 32168164, 301310216, 32168236, 21717880, 266790611, 313870402, 225266123, 313870590, 303814814, 1165284169, 25248719, 25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(0, 30, {u'route_id': 7, u'road_path': [243461159, 243461149, 243461136, 243461128, 243461126, 243433383, 243433384, 243433385], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(0, 9, {u'route_id': 3, u'road_path': [243433385, 265573073, 31457474, 31457475, 31457476, 31457477, 243461068, 31457478, 316168319, 4079991560, 32168164, 301310216, 32168236, 21717880, 266790611, 313870402], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(1, 2, {u'route_id': 9, u'road_path': [265573192, 265573094, 2712126652, 243461079, 243461088, 243434018, 265571869], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(2, 3, {u'route_id': 9, u'road_path': [4079991560, 316168320, 31457449, 31457478, 265573192], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(3, 4, {u'route_id': 9, u'road_path': [1671388431, 259656006, 266790611, 313870402, 225266123, 266740522, 259655618, 266790612, 32169081, 243433817, 31457364, 31457287, 31457137, 31457425, 31457427, 243434746, 31457449, 31457478, 316168319, 4079991560], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(4, 5, {u'route_id': 9, u'road_path': [266790612, 1671388431], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(5, 6, {u'route_id': 9, u'road_path': [266790611, 313870402, 225266123, 266740522, 259655618, 266790612], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(6, 7, {u'route_id': 9, u'road_path': [313870402, 225266123, 266740522, 259655618, 266790612, 1671388431, 259656006, 266790611], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(7, 8, {u'route_id': 9, u'road_path': [313870402], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(8, 9, {u'route_id': 9, u'road_path': [313870402], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(8, 53, {u'route_id': 3, u'road_path': [244002285, 266740522, 259655618, 266790612, 1671388431, 259656006, 266790611, 313870402], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(9, 10, {u'route_id': 9, u'road_path': [1021549110, 225266123, 266740522, 259655618, 266790612, 1671388431, 259656006, 266790611, 313870402], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(10, 11, {u'route_id': 9, u'road_path': [25248723, 25248719, 1165284169, 12072829, 12072904, 225266417, 303814802, 313927343, 266741147, 266740522, 225266123, 1021549110], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(11, 56, {u'route_id': 8, u'road_path': [1165284169, 25248719, 25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(11, 12, {u'route_id': 9, u'road_path': [25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(12, 57, {u'route_id': 9, u'road_path': [1165284169, 25248719, 25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(12, 13, {u'route_id': 8, u'road_path': [25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(13, 14, {u'route_id': 9, u'road_path': [25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(13, 199, {u'route_id': 9, u'road_path': [25584075, 21674223, 21674238, 32546720, 371020316, 204306594, 21674120, 2139625357, 145193352, 21675195, 24080569, 321328336, 12067372, 321326597, 313926476, 313926603, 225266417, 303814802, 303814814, 1165284169, 25248719, 25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(14, 29, {u'route_id': 7, u'road_path': [25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(14, 199, {u'route_id': 8, u'road_path': [25248723, 25248719, 1165284169, 12072829, 12072904, 225266417, 225319003, 225266649, 228304854, 225266618, 25033949, 43700344, 319124474, 371022096, 12072844, 225266054, 178159466, 178159465, 3720709405, 254034912, 269469745, 3720709420, 21674238, 21674223, 25584075], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(23, 24, {u'route_id': 7, u'road_path': [1021549110, 225266123, 313870590, 303814814, 12072904, 225266417, 303814802, 313927343, 3775223390, 3775223373], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(23, 189, {u'route_id': 7, u'road_path': [3775223373, 259655618, 266790612, 1671388431, 418552432, 243796471, 27049508, 409098605, 27049507, 178165090, 12072872, 21630157, 21717790, 3719960025, 178159466, 178159465, 3720709405, 254034912, 269469745, 3720709420, 21674238, 32546720, 32546672, 3060414058], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(24, 25, {u'route_id': 7, u'road_path': [1021549110], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(25, 26, {u'route_id': 7, u'road_path': [1021549110], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(25, 100, {u'route_id': 2, u'road_path': [1021549110, 225266123, 313870590, 303814814, 12072904, 225266417, 3775184582, 354401889, 225266548], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(26, 146, {u'route_id': 4, u'road_path': [1021549110, 225266123, 313870590, 303814814, 12072904, 225266417, 225319003, 225266649, 228304854, 225266618, 25033949, 369317951, 1249465747, 1249465742, 1340939744, 2139625333], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(26, 27, {u'route_id': 7, u'road_path': [25248723, 25248719, 1165284169, 12072829, 12072904, 225266417, 303814802, 313927343, 266741147, 266740522, 225266123, 1021549110], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(27, 28, {u'route_id': 7, u'road_path': [25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(28, 29, {u'route_id': 7, u'road_path': [25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(30, 45, {u'route_id': 9, u'road_path': [243461252, 243461239, 243461208, 243461165, 243511682, 243461159], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(30, 31, {u'route_id': 9, u'road_path': [243461159, 243461149, 243461150, 243511682, 243461165, 243461166, 243511725], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(31, 32, {u'route_id': 9, u'road_path': [243511725, 243461151, 332199737, 316168247], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(31, 199, {u'route_id': 0, u'road_path': [25584075, 21674223, 683048078, 333545395, 333545355, 3544237672, 79665100, 25584093, 25584096, 1008757064, 430229462, 692738676, 313857850, 313857737, 313857739, 313858034, 311891584, 313858976, 2389124711, 316168093, 316168105, 316168104, 313860317, 316168106, 316168108, 316168114, 316168206, 316168208, 316168223, 316168224, 316168234, 243511725], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(32, 33, {u'route_id': 9, u'road_path': [316168247, 316168303, 4079991564, 4079991561, 316168319, 4079991560, 316168320, 316168328, 2389113451, 244312770, 929205748, 929205737, 244452500, 558297457, 340223123, 307953564, 243796471, 1973321750], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(33, 34, {u'route_id': 9, u'road_path': {}, u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(34, 35, {u'route_id': 9, u'road_path': [3730127796], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(35, 36, {u'route_id': 9, u'road_path': [3730127796, 418552432, 1671388431, 259656006, 266790611, 313870402, 225266123, 266740522, 259655618], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(36, 37, {u'route_id': 9, u'road_path': [259655618], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(37, 67, {u'route_id': 7, u'road_path': [2139634816, 2139634814, 2692948817, 244002285, 266740522, 259655618], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(37, 38, {u'route_id': 9, u'road_path': [259655618, 266790612, 1671388431, 259656006, 266790611, 313870402, 225266123, 313870590, 303814814, 12072904, 225266417, 303814802, 313927343, 3775223390, 3775223373], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(38, 39, {u'route_id': 9, u'road_path': [3775223373, 259655618, 266790612, 1671388431, 259656006, 266790611, 313870402, 225266123, 1021549110], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(39, 40, {u'route_id': 9, u'road_path': [1021549110], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(39, 54, {u'route_id': 2, u'road_path': [266741147, 266740522, 225266123, 1021549110], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(40, 41, {u'route_id': 9, u'road_path': [1021549110, 225266123, 313870590, 303814814, 1165284169], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(40, 70, {u'route_id': 4, u'road_path': [313927343, 266741147, 266740522, 225266123, 1021549110], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(41, 42, {u'route_id': 9, u'road_path': [1165284169, 25248719, 25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(42, 43, {u'route_id': 9, u'road_path': [25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(43, 44, {u'route_id': 9, u'road_path': [25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(44, 59, {u'route_id': 9, u'road_path': [25248723, 25248719], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(44, 194, {u'route_id': 6, u'road_path': [321628385, 313458169, 244892759, 246046849, 313458280, 918040132, 246043207, 1234308865, 313456858, 313873154, 313493538, 4247071075, 313872467, 321326597, 313926476, 313926603, 225266417, 303814802, 303814814, 1165284169, 25248719, 25248723], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(45, 75, {u'route_id': 7, u'road_path': [316168104, 313860317, 316168106, 243434883, 243461323, 243461262, 243461258, 243461252], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(45, 60, {u'route_id': 6, u'road_path': [243461323, 243461262, 243461258, 243461252], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(45, 46, {u'route_id': 9, u'road_path': [316168208, 316168223, 243461207, 243461208, 243461239, 243461252], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(46, 47, {u'route_id': 9, u'road_path': [243796471, 27049508, 266739586, 266739585, 245094115, 313859125, 25215244, 358843086, 313860317, 316168106, 316168108, 316168114, 316168206, 316168208], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(47, 48, {u'route_id': 9, u'road_path': {}, u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(48, 49, {u'route_id': 9, u'road_path': [1973321750], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(49, 50, {u'route_id': 9, u'road_path': [21763902, 243203726, 303806885, 12072892, 2139634816, 2139634814, 2692948817, 244002285, 266740522, 259655618, 266790612, 1671388431, 418552432, 243796471, 1973321750], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(50, 51, {u'route_id': 9, u'road_path': [303806885, 243203726, 21763902], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(51, 52, {u'route_id': 9, u'road_path': [2692948817, 2139634814, 2139634816, 12072892, 243796325, 303806885], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(52, 97, {u'route_id': 3, u'road_path': [242416551, 452416527, 354320744, 345517953, 243971603, 243203726, 303806885, 12072892, 2139634816, 2139634814, 2692948817], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
(52, 53, {u'route_id': 9, u'road_path': [244002285, 2692948817], u'lat_long_road_path': [[14.5428497, 121.0121369], [14.5428566, 121.0116683], [14.5427772, 121.0107841]]})
